Source,Camera_Name,Camera_ID,Apple_HLS(public),JPEG_URL(public),Latitude,Longitude
Elko,I-80 & Battle Mountain,122,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_battle_mountain_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_battle_mountain_public.jpg,40.637798,-116.944503
Elko,I-80 & Carlin Tunnel East 2,123,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_carlin_tunnel_east_2_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_carlin_tunnel_east_2_public.jpg,40.719398,-116.0093
Elko,I-80 & Carlin Tunnel East EB (Thermal),121,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_carlin_tunnel_east_eb_thermal_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_carlin_tunnel_east_eb_thermal_public.jpg,40.720001,-116.012001
Elko,I-80 & Carlin Tunnel East WB (Thermal),125,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_carlin_tunnel_east_wb_thermal_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_carlin_tunnel_east_wb_thermal_public.jpg,40.720798,-116.012199
Elko,I-80 & Carlin Tunnel West 1,102,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_carlin_tunnel_west_1_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_carlin_tunnel_west_1_public.jpg,40.7233,-116.016998
Elko,I-80 & Carlin Tunnel West 2,119,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_carlin_tunnel_west_2_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_carlin_tunnel_west_2_public.jpg,40.723999,-116.018997
Elko,I-80 & Carlin Tunnel West EB (Thermal),120,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_carlin_tunnel_west_eb_thermal_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_carlin_tunnel_west_eb_thermal_public.jpg,40.722,-116.015998
Elko,I-80 & Carlin Tunnel West WB (Thermal),124,https://d3wse.its.nv.gov:443/elkoxcd01/i-80_and_carlin_tunnel_west_wb_thermal_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/i-80_and_carlin_tunnel_west_wb_thermal_public.jpg,40.7229,-116.015899
Elko,I-80 & Deeth,111,https://d3wse.its.nv.gov:443/elkoxcd01/i80_and_deeth_public.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/I80_and_Deeth_public.jpg,41.085998,-115.2304
Elko,I-80 & East Elko,101,https://d3wse.its.nv.gov:443/elkoxcd01/i80mm303eastelkopublic.stream/playlist.m3u8,https://flirimage.its.nv.gov/elko_images/I80MM303EastElkopublic.jpg,40.8656,-115.734001
